,year,model,scenario,tas
337,2110,NCAR-CCSM4,rcp85,0.8744149935500024
338,2120,NCAR-CCSM4,rcp85,1.510967713624965
339,2130,NCAR-CCSM4,rcp85,3.043544492378661
340,2140,NCAR-CCSM4,rcp85,2.719405209105906
341,2150,NCAR-CCSM4,rcp85,3.637375888527513
342,2160,NCAR-CCSM4,rcp85,4.214226977040108
343,2170,NCAR-CCSM4,rcp85,4.769937061205542
344,2180,NCAR-CCSM4,rcp85,5.623583331278091
345,2190,NCAR-CCSM4,rcp85,5.662152738158629
346,2200,NCAR-CCSM4,rcp85,6.161454766062298
347,2210,NCAR-CCSM4,rcp85,6.446024836204534
348,2220,NCAR-CCSM4,rcp85,6.291360653311842
349,2230,NCAR-CCSM4,rcp85,7.142975015087466
350,2240,NCAR-CCSM4,rcp85,7.1484942101689875
351,2250,NCAR-CCSM4,rcp85,7.43320244095063
352,2260,NCAR-CCSM4,rcp85,7.524906067640486
353,2270,NCAR-CCSM4,rcp85,7.768032065733517
354,2280,NCAR-CCSM4,rcp85,7.676111772828281
355,2290,NCAR-CCSM4,rcp85,7.880072924986687
356,2300,NCAR-CCSM4,rcp85,8.467276279084418
